order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sell_price
109,"2023-10-12 00:00:00","Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Art,OFF-AR-10000390,1,0.00,0.00
110,"2023-03-17 00:00:00","Standard Class","Home Office","United States","Orland Park",Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,6.80,333.20
111,"2023-09-05 00:00:00","Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Furnishings,FUR-FU-10001934,2,0.80,39.20
112,"2022-01-28 00:00:00","Standard Class",Consumer,"United States",Urbandale,Iowa,50322,Central,"Office Supplies",Art,OFF-AR-10000380,2,2.40,77.60
113,"2022-12-26 00:00:00","Standard Class",Consumer,"United States",Urbandale,Iowa,50322,Central,"Office Supplies",Binders,OFF-BI-10003981,6,0.90,29.10
114,"2023-06-06 00:00:00","Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,OFF-FA-10000621,14,0.80,39.20
115,"2023-11-08 00:00:00","Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,OFF-EN-10002600,2,0.00,0.00
116,"2022-11-15 00:00:00","Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,OFF-PA-10004965,3,0.80,19.20
117,"2022-06-30 00:00:00","Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,OFF-EN-10002504,6,6.50,123.50
118,"2023-10-27 00:00:00","Standard Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,31.60,758.40
119,"2023-07-19 00:00:00",NULL,Corporate,"United States",Bristol,Tennessee,37620,South,"Office Supplies",Binders,OFF-BI-10003650,1,8.00,152.00
120,"2023-03-30 00:00:00","First Class",Consumer,"United States",Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,1.50,48.50
121,"2022-03-03 00:00:00","First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Binders,OFF-BI-10003910,4,0.60,29.40
122,"2022-10-20 00:00:00","First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Storage,OFF-ST-10000777,6,4.60,225.40
123,"2023-01-23 00:00:00","First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Envelopes,OFF-EN-10002500,9,4.80,115.20
124,"2023-01-21 00:00:00","First Class",Consumer,"United States",Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,1.40,68.60
125,"2023-07-18 00:00:00","Second Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,18.00,582.00
126,"2023-07-15 00:00:00","Standard Class",Consumer,"United States",Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,24.80,595.20
127,"2022-07-14 00:00:00","Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Binders,OFF-BI-10003274,2,0.00,0.00
128,"2023-03-30 00:00:00","Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Storage,OFF-ST-10002974,7,9.60,230.40
129,"2023-09-18 00:00:00","Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,1.60,78.40
130,"2022-01-03 00:00:00","Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,9.60,230.40
131,"2022-07-17 00:00:00","First Class",Corporate,"United States",Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,1.80,58.20
132,"2022-03-30 00:00:00","First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,OFF-PA-10002377,2,3.20,76.80
133,"2022-05-01 00:00:00","First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,OFF-FA-10002780,9,1.00,19.00
134,"2023-04-29 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Paper,OFF-PA-10001804,3,0.80,19.20
135,"2022-10-28 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Paper,OFF-PA-10001736,1,2.00,38.00
136,"2022-03-05 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Art,OFF-AR-10001149,4,0.50,9.50
137,"2022-03-28 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Fasteners,OFF-FA-10002988,2,0.00,0.00
138,"2023-10-16 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Binders,OFF-BI-10004781,3,1.60,78.40
139,"2022-05-15 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Supplies,OFF-SU-10001218,6,3.50,66.50
140,"2023-06-06 00:00:00","Standard Class",Consumer,"United States",Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,0.80,39.20
141,"2022-06-10 00:00:00","Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,2,1.60,78.40
142,"2022-07-22 00:00:00","Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Art,OFF-AR-10000940,3,0.30,9.70
143,"2023-12-27 00:00:00","Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Envelopes,OFF-EN-10004030,3,0.20,9.80
144,"2023-11-29 00:00:00","Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Paper,OFF-PA-10004327,3,7.00,133.00
145,"2022-03-19 00:00:00","Standard Class",Consumer,"United States",Independence,Missouri,64055,Central,"Office Supplies",Appliances,OFF-AP-10001058,3,16.80,823.20
146,"2023-06-04 00:00:00","Standard Class",Consumer,"United States",Pasadena,California,91104,West,"Office Supplies",Storage,OFF-ST-10003656,7,20.10,649.90
147,"2023-05-31 00:00:00","Standard Class","Home Office","United States",Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,4,3.60,86.40
148,"2022-06-12 00:00:00","Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,11,15.20,364.80
149,"2022-05-18 00:00:00","Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,3,7.50,142.50
150,"2022-01-23 00:00:00","Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,8,58.50,1891.50
151,"2023-08-21 00:00:00","Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,"Office Supplies",Binders,OFF-BI-10002735,5,6.80,163.20
152,"2023-08-31 00:00:00","First Class","Home Office","United States",Scottsdale,Arizona,85254,West,"Office Supplies",Appliances,OFF-AP-10000326,5,8.00,152.00
153,"2022-10-25 00:00:00","First Class","Home Office","United States",Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,2,4.00,196.00
154,"2022-10-07 00:00:00","First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Paper,OFF-PA-10001950,7,2.40,57.60
155,"2023-03-25 00:00:00","First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Paper,OFF-PA-10002254,4,4.40,105.60
156,"2023-03-27 00:00:00","First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Storage,OFF-ST-10001590,6,3.20,76.80
157,"2022-05-03 00:00:00","Standard Class","Home Office","United States",Seattle,Washington,98105,West,"Office Supplies",Art,OFF-AR-10001547,3,0.30,9.70
158,"2022-05-18 00:00:00","Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,2,9.20,450.80
159,"2022-04-25 00:00:00","Standard Class",Consumer,"United States",Edmond,Oklahoma,73034,Central,"Office Supplies",Labels,OFF-LA-10002475,2,0.30,9.70
160,"2022-06-30 00:00:00","Standard Class",Consumer,"United States",Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,7,47.00,893.00
161,"2022-01-10 00:00:00","First Class",Consumer,"United States","Los Angeles",California,90045,West,"Office Supplies",Paper,OFF-PA-10002751,1,0.40,9.60
162,"2023-11-27 00:00:00","Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,2,2.50,47.50
163,"2022-02-16 00:00:00","Standard Class",Consumer,"United States",Carlsbad,"New Mexico",88220,West,"Office Supplies",Envelopes,OFF-EN-10001990,5,1.20,28.80
164,"2022-08-14 00:00:00","Standard Class",Consumer,"United States",Seattle,Washington,98115,West,"Office Supplies",Binders,OFF-BI-10004002,2,0.90,29.10
165,"2023-10-14 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,OFF-AR-10004441,3,0.50,9.50
166,"2022-10-16 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Machines,TEC-MA-10000822,8,326.40,7833.60
167,"2022-11-20 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Storage,OFF-ST-10000991,3,11.20,268.80
168,"2023-11-04 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,9,69.60,1670.40
169,"2023-06-16 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,OFF-AR-10002656,6,1.20,28.80
170,"2022-10-20 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Appliances,OFF-AP-10002518,5,3.60,176.40
171,"2022-07-12 00:00:00","Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Phones,TEC-PH-10003931,3,7.00,133.00
172,"2022-01-28 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,OFF-PA-10000659,3,0.40,19.60
173,"2023-10-10 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,OFF-PA-10001144,2,4.40,105.60
174,"2022-10-05 00:00:00","Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,FUR-CH-10003817,7,6.80,333.20
175,"2023-01-02 00:00:00","Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Appliances,OFF-AP-10000891,2,2.00,48.00
176,"2023-04-07 00:00:00","Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Labels,OFF-LA-10003148,4,1.00,19.00
177,"2022-04-21 00:00:00","Second Class",Consumer,"United States",Houston,Texas,77036,Central,"Office Supplies",Appliances,OFF-AP-10002684,4,2.00,98.00
178,"2023-10-28 00:00:00","Second Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Chairs,FUR-CH-10004698,7,20.00,380.00
